,episode,score,avg_score,epsilon
0,0,-362.1905412222688,-362.1905412222688,0.9976000000000003
1,1,-98.28014058298024,-230.2353409026245,0.9863000000000015
2,2,-240.81374759171135,-233.76147646565346,0.9778000000000024
3,3,-115.38293747254986,-204.16684171737757,0.9712000000000032
4,4,-113.30703767022148,-185.99488090794634,0.9631000000000041
5,5,-397.26321132619495,-221.20626931098778,0.9522000000000053
6,6,-99.94962785771135,-203.88389196051975,0.9408000000000065
7,7,-90.8076021579385,-189.74935573519707,0.9322000000000075
8,8,-92.25238197320358,-178.91635865053115,0.9239000000000084
9,9,-164.459896900975,-177.47071247557554,0.9143000000000094
10,10,-187.38576683270335,-178.37208105349626,0.9022000000000108
11,11,-246.95521194273582,-184.0873419609329,0.8938000000000117
12,12,-58.71999483493832,-174.44369987431793,0.8841000000000128
13,13,-144.39748451228954,-172.29754163417303,0.8723000000000141
14,14,-120.38605290703148,-168.83677571903027,0.8656000000000148
15,15,-15.422504613678413,-159.24838377494575,0.8538000000000161
16,16,-289.6577491681246,-166.919522915721,0.845500000000017
17,17,-136.48522011719965,-165.22872831580312,0.8358000000000181
18,18,-69.04595860414868,-160.16647727834766,0.8282000000000189
19,19,-27.967400189253027,-153.5565234238929,0.8198000000000198
20,20,-169.104560433026,-154.29690613861354,0.8103000000000209
21,21,-144.9324079319262,-153.87124712921866,0.8014000000000219
22,22,-71.7013398686539,-150.29864246571586,0.7940000000000227
23,23,-200.32703880422451,-152.38315897982037,0.7830000000000239
24,24,-164.07880090122896,-152.8509846566767,0.7709000000000252
25,25,-73.23861412992551,-149.78897040564783,0.764000000000026
26,26,-319.86450166710085,-156.088064156072,0.7534000000000272
27,27,-210.91419380755346,-158.0461402150535,0.7396000000000287
28,28,-82.51418170374257,-155.44158992156002,0.7286000000000299
29,29,-132.8625880669626,-154.68895652640677,0.7195000000000309
30,30,-79.84028239938863,-152.2744831674707,0.7116000000000318
31,31,-98.72088517015767,-150.60093323005464,0.7023000000000328
32,32,-322.8054963310017,-155.81925332402272,0.6899000000000342
33,33,43.12512419974561,-149.96794810273542,0.6797000000000353
34,34,-38.732629620197685,-146.78979614609148,0.6704000000000363
35,35,-89.30045940989889,-145.1928701256417,0.6581000000000377
36,36,-295.2173915037043,-149.2475869196434,0.6489000000000387
37,37,-226.09881810997325,-151.26998774044154,0.6392000000000397
38,38,-167.47587837402023,-151.68552339771279,0.6302000000000407
39,39,-16.995641879056606,-148.31827635974642,0.6156000000000423
40,40,-124.93407704097676,-147.7479300348984,0.6087000000000431
41,41,-140.58957555122913,-147.57749302338246,0.5986000000000442
42,42,-89.57956470311464,-146.22870399267856,0.5880000000000454
43,43,-42.41079012310031,-143.86920595018813,0.5755000000000468
44,44,-104.4155645354562,-142.9924583631941,0.564400000000048
45,45,-70.56678706904248,-141.41798724810383,0.5556000000000489
46,46,-238.18677774298754,-143.47689768416518,0.5426000000000504
47,47,-27.19473986406028,-141.05435272957965,0.5286000000000519
48,48,-157.08877074691725,-141.38158575034163,0.518400000000053
49,49,-237.64521153493416,-143.3068582660335,0.49740000000005535
50,50,-67.4293424124924,-141.8190638375327,0.4836000000000569
51,51,-115.42643567406316,-141.3115132959275,0.4559000000000599
52,52,-151.9329197030632,-141.51191719040176,0.44480000000006115
53,53,-177.89880221130022,-142.18574839449246,0.43470000000006226
54,54,-219.3209744962146,-143.5882070508874,0.42470000000006336
55,55,-200.63444895224166,-144.60688994198304,0.41310000000006464
56,56,-32.111388736957934,-142.63328465768436,0.400600000000066
57,57,-245.39254725073786,-144.4049960817025,0.36420000000007
58,58,-158.70933099084,-144.64744243609465,0.27040000000008035
59,59,-47.87727688230059,-143.0346063435314,0.2589000000000816
60,60,-116.96240171198723,-142.60719315285036,0.15890000000009263
61,61,-261.0128988978274,-144.51696260034998,0.14960000000009366
